score,file_path,risk_type_hits
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0297.txt,책임 면제:3; 일방적 계약 해지:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0249.txt,책임 면제:1; 과도한 위약금:3
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0089.txt,책임 면제:3; 과도한 위약금:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0260.txt,책임 면제:3; 과도한 위약금:1
4,부동산매매_임대차_부동산임대/상업용부동산임대계약서_0116.txt,책임 면제:1; 과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0590.txt,과도한 위약금:2; 보증금 반환 지연:1
3,약관에의한계약_기타계약_표준약관/표준약관_0556.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0230.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0190.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0597.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0453.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0309.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0122.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0095.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0121.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0479.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0531.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,약관에의한계약_기타계약_표준약관/표준약관_0069.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0045.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0469.txt,책임 면제:1; 일방적 계약 해지:2
3,약관에의한계약_기타계약_표준약관/표준약관_0327.txt,책임 면제:1; 과도한 위약금:2
3,약관에의한계약_기타계약_표준약관/표준약관_0441.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0333.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0124.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0468.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0291.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0330.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0126.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0457.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0473.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0288.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0115.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0289.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0538.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0504.txt,과도한 위약금:3
3,약관에의한계약_기타계약_표준약관/표준약관_0515.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0059.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0112.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0405.txt,책임 면제:1; 과도한 위약금:1; 보증금 반환 지연:1
3,약관에의한계약_기타계약_표준약관/표준약관_0200.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0360.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0374.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0189.txt,책임 면제:2; 과도한 위약금:1
3,약관에의한계약_기타계약_표준약관/표준약관_0375.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0361.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0359.txt,책임 면제:2; 일방적 계약 해지:1
3,약관에의한계약_기타계약_표준약관/표준약관_0417.txt,과도한 위약금:2; 보증금 반환 지연:1
3,약관에의한계약_기타계약_표준약관/표준약관_0601.txt,책임 면제:3
3,약관에의한계약_기타계약_표준약관/표준약관_0010.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0036.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0150.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0041.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0094.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0039.txt,책임 면제:2; 일방적 계약 해지:1
3,대리점_프랜차이즈_대리점/대리점계약서_0005.txt,책임 면제:3
3,금전소비대차_채권_채무_금전거래/보증_담보계약서_0042.txt,책임 면제:3
3,인사_고용_노무_고용계약/기타고용계약서_0033.txt,책임 면제:2; 과도한 위약금:1
3,인사_고용_노무_고용계약/기타고용계약서_0147.txt,과도한 위약금:3
3,인사_고용_노무_고용계약/기타고용계약서_0379.txt,과도한 위약금:2; 일방적 계약 해지:1
